index,term,TF(log),TF,IDF,TF-IDF
143,rhythm,1.000000,1,5.577031,5.577031
144,ripples,1.301030,2,5.382875,7.003282
145,rise,1.000000,1,5.913503,5.913503
146,road,1.000000,1,5.913503,5.913503
147,roots,1.000000,1,5.913503,5.913503
148,rush,1.301030,2,5.325716,6.928917
149,scare,1.000000,1,7.117476,7.117476
150,send,1.000000,1,7.117476,7.117476
151,sentinels,1.000000,1,8.216088,8.216088
152,set,1.000000,1,7.117476,7.117476
153,shades,1.000000,1,7.522941,7.522941
154,sharp,1.000000,1,5.731181,5.731181
155,shine,1.301030,2,5.913503,7.693645
156,shore,1.000000,1,5.913503,5.913503
157,silence,1.000000,1,5.577031,5.577031
158,simply,1.301030,2,5.171566,6.728362
159,sit,1.301030,2,5.271649,6.858574
160,sky,1.301030,2,4.750352,6.180351
161,slow,1.301030,2,5.382875,7.003282
162,slowly,1.000000,1,5.731181,5.731181
163,small,1.602060,4,4.957992,7.943000
164,smell,1.000000,1,6.018864,6.018864
165,smooth,1.000000,1,6.829794,6.829794
166,soft,1.000000,1,5.913503,5.913503
167,soften,1.000000,1,7.522941,7.522941
168,soil,1.000000,1,6.270178,6.270178
169,solution,1.000000,1,7.117476,7.117476
170,sound,1.000000,1,5.913503,5.913503
171,splash,1.000000,1,6.018864,6.018864
172,spread,1.301030,2,5.577031,7.255884
173,stand,1.301030,2,5.508038,7.166123
174,stay,1.000000,1,6.606650,6.606650
175,steady,1.301030,2,5.508038,7.166123
176,step,1.301030,2,4.848792,6.308424
177,stillness,1.698970,5,4.660740,7.918458
178,stone,1.000000,1,6.829794,6.829794
179,stop,1.301030,2,6.136647,7.983961
180,straight,1.000000,1,6.829794,6.829794
181,stream,1.000000,1,7.522941,7.522941
182,stretch,1.000000,1,4.997212,4.997212
183,strict,1.000000,1,8.216088,8.216088
184,succeed,1.000000,1,8.216088,8.216088
185,sun,1.477121,3,4.997212,7.381488
186,surface,1.477121,3,4.689728,6.927296
187,swayed,1.301030,2,6.018864,7.830722
188,tall,1.000000,1,5.731181,5.731181
189,think,1.602060,4,4.814891,7.713744
190,time,1.301030,2,4.689728,6.101476
191,timeless,1.000000,1,7.522941,7.522941
192,tomorrow,1.000000,1,7.117476,7.117476
193,touch,1.000000,1,6.136647,6.136647
194,trail,1.301030,2,5.325716,6.928917
195,trees,1.778151,6,4.264844,7.583538
196,trembled,1.000000,1,8.216088,8.216088
197,understand,1.000000,1,7.117476,7.117476
198,uneven,1.000000,1,7.522941,7.522941
199,unhurried,1.000000,1,7.522941,7.522941
200,unseen,1.000000,1,6.136647,6.136647
201,vanishing,1.000000,1,7.522941,7.522941
202,wait,1.301030,2,5.125046,6.667838
203,walk,1.602060,4,4.431898,7.100167
204,want,1.000000,1,6.018864,6.018864
205,warmer,1.000000,1,6.270178,6.270178
206,wash,1.000000,1,8.216088,8.216088
207,watch,1.301030,2,5.577031,7.255884
208,water,1.301030,2,4.478418,5.826557
209,wave,1.000000,1,5.325716,5.325716
210,whispered,1.000000,1,6.018864,6.018864
211,whispering,1.000000,1,6.606650,6.606650
212,wide,1.477121,3,5.382875,7.951159
213,wind,1.301030,2,5.443499,7.082156
214,wings,1.000000,1,5.913503,5.913503
215,wonder,1.000000,1,6.270178,6.270178
216,words,1.000000,1,5.818193,5.818193
217,world,1.477121,3,4.848792,7.162254
218,worth,1.000000,1,6.606650,6.606650
219,write,1.778151,6,4.088954,7.270778
220,yesterday,1.000000,1,7.117476,7.117476
