index,term,TF,IDF,TF-IDF
0,a,2.278754,3.763693,8.576528
1,about,1.903090,4.782638,9.101790
2,across,1.698970,5.560342,9.446855
3,after,1.301030,6.521753,8.484997
4,again,1.477121,6.447645,9.523954
5,air,1.477121,5.397823,7.973239
6,alive,1.301030,6.688807,8.702339
7,allowed,1.301030,6.601796,8.589135
8,always,1.301030,6.521753,8.484997
9,and,2.397940,3.614432,8.667191
10,as,1.477121,5.560342,8.213300
11,at,1.477121,5.719407,8.448257
12,away,1.301030,7.294943,9.490940
13,back,1.301030,6.042180,7.861058
14,be,1.301030,5.951209,7.742701
15,beauty,1.301030,6.447645,8.388580
16,before,1.477121,5.867827,8.667492
17,beneath,1.301030,6.378653,8.298818
18,branch,1.301030,7.007261,9.116657
19,but,2.000000,4.471582,8.943164
20,by,1.602060,5.652716,9.055989
21,came,1.301030,6.378653,8.298818
22,carried,1.477121,6.090970,8.997102
23,changed,1.301030,6.889478,8.963418
24,could,1.602060,6.042180,9.679935
25,day,1.477121,5.828606,8.609558
26,details,1.301030,6.521753,8.484997
27,didn’t,1.301030,5.302513,6.898729
28,different,1.477121,6.253489,9.237162
29,enough,1.301030,5.867827,7.634219
30,every,1.477121,6.688807,9.880180
31,everything,1.477121,6.253489,9.237162
32,felt,1.778151,5.116411,9.097752
33,fish,1.301030,6.090970,7.924535
34,for,1.602060,5.302513,8.494944
35,from,1.602060,5.790866,9.277315
36,grass,1.301030,7.140793,9.290385
37,had,1.845098,4.810037,8.874989
38,hadn’t,1.301030,6.314114,8.214852
39,here,1.477121,5.590195,8.257396
40,hidden,1.301030,6.521753,8.484997
41,how,1.602060,5.194882,8.322513
42,i,2.690196,3.013658,8.107331
43,if,1.602060,5.397823,8.647637
44,in,1.954243,4.679983,9.145823
45,it,2.204120,3.758827,8.284905
46,its,1.903090,5.449117,10.370159
47,lake,2.000000,4.575843,9.151686
48,left,1.301030,6.601796,8.589135
49,life,1.301030,5.503184,7.159807
50,light,1.301030,5.867827,7.634219
51,like,1.778151,4.852596,8.628650
52,long,1.477121,5.951209,8.790657
53,looking,1.301030,7.988090,10.392745
54,made,1.477121,6.253489,9.237162
55,many,1.301030,6.196331,8.061612
56,me,2.079181,4.333113,9.009326
57,meadow,1.301030,6.784118,8.826341
58,might,1.301030,6.378653,8.298818
59,missed,1.301030,7.140793,9.290385
60,moment,1.477121,5.867827,8.667492
61,moving,1.477121,6.142264,9.072868
62,my,1.778151,5.009165,8.907054
63,no,1.301030,5.867827,7.634219
64,noise,1.301030,6.196331,8.061612
65,not,1.477121,5.174680,7.643629
66,notebook,1.602060,5.397823,8.647637
67,nothing,1.301030,6.889478,8.963418
68,of,2.079181,3.877217,8.061436
69,on,1.698970,5.280040,8.970630
70,only,1.301030,5.754498,7.486775
71,opened,1.301030,6.314114,8.214852
72,or,1.301030,5.995660,7.800534
73,ordinary,1.301030,7.477265,9.728146
74,outward,1.301030,7.140793,9.290385
75,path,1.301030,5.719407,7.441120
76,paused,1.301030,6.784118,8.826341
77,perhaps,1.477121,7.007261,10.350574
78,pine,1.301030,6.688807,8.702339
79,place,1.301030,6.784118,8.826341
80,quickly,1.301030,6.889478,8.963418
81,quiet,1.477121,5.828606,8.609558
82,rhythm,1.301030,6.447645,8.388580
83,ripples,1.301030,6.253489,8.135977
84,rising,1.301030,8.393556,10.920268
85,sat,1.301030,6.196331,8.061612
86,see,1.301030,6.521753,8.484997
87,sharp,1.301030,6.601796,8.589135
88,simply,1.301030,6.042180,7.861058
89,sky,1.301030,5.620967,7.313046
90,slowly,1.301030,6.601796,8.589135
91,something,1.477121,5.397823,7.973239
92,step,1.301030,6.042180,7.861058
93,still,1.477121,5.236555,7.735027
94,stillness,1.602060,5.531355,8.861562
95,stood,1.301030,6.521753,8.484997
96,stretch,1.301030,7.294943,9.490940
97,stretched,1.477121,6.196331,9.152732
98,sun,1.477121,5.867827,8.667492
99,sunlight,1.301030,6.784118,8.826341
100,surface,1.602060,5.560342,8.908002
101,that,2.146128,4.350504,9.336739
102,the,2.826075,2.480053,7.008814
103,their,1.301030,6.142264,7.991269
104,them,1.301030,6.042180,7.861058
105,they,1.301030,6.042180,7.861058
106,thought,1.301030,6.042180,7.861058
107,timar,1.477121,5.719407,8.448257
108,to,2.204120,3.768583,8.306409
109,together,1.301030,7.477265,9.728146
110,trail,1.477121,6.196331,9.152732
111,trees,1.845098,5.135459,9.475425
112,unseen,1.301030,7.007261,9.116657
113,waiting,1.301030,6.447645,8.388580
114,walk,1.477121,5.908649,8.727791
115,walked,1.301030,6.688807,8.702339
116,was,2.176091,3.866347,8.413524
117,wasn’t,1.602060,5.531355,8.861562
118,water,1.602060,5.349033,8.569472
119,what,1.301030,6.142264,7.991269
120,when,1.301030,5.754498,7.486775
121,where,1.301030,6.521753,8.484997
122,wide,1.301030,6.253489,8.135977
123,wind,1.301030,6.314114,8.214852
124,with,2.000000,4.897048,9.794096
125,world,1.477121,5.719407,8.448257
126,write,1.301030,6.196331,8.061612
127,wrote,1.477121,5.531355,8.170482
