index,term,TF,IDF,TF-IDF
0,a,2.301030,3.763693,8.660370
1,about,1.903090,4.782638,9.101790
2,above,1.301030,6.601796,8.589135
3,across,1.698970,5.560342,9.446855
4,after,1.301030,6.521753,8.484997
5,air,1.778151,5.397823,9.598146
6,always,1.301030,6.521753,8.484997
7,and,2.462398,3.614432,8.900170
8,as,1.477121,5.560342,8.213300
9,attention,1.477121,6.196331,9.152732
10,be,1.602060,5.951209,9.534193
11,beneath,1.301030,6.378653,8.298818
12,bent,1.301030,7.988090,10.392745
13,between,1.301030,7.477265,9.728146
14,busy,1.301030,6.889478,8.963418
15,but,1.903090,4.471582,8.509823
16,by,1.301030,5.652716,7.354352
17,came,1.602060,6.378653,10.218984
18,carried,1.602060,6.090970,9.758100
19,details,1.301030,6.521753,8.484997
20,didn’t,1.602060,5.302513,8.494944
21,different,1.477121,6.253489,9.237162
22,disappeared,1.301030,7.140793,9.290385
23,down,1.477121,6.090970,8.997102
24,each,1.301030,5.995660,7.800534
25,earth,1.301030,6.601796,8.589135
26,enough,1.477121,5.867827,8.667492
27,felt,1.698970,5.116411,8.692629
28,fish,1.301030,6.090970,7.924535
29,followed,1.301030,6.784118,8.826341
30,for,1.477121,5.302513,7.832455
31,from,1.477121,5.790866,8.553811
32,grasses,1.477121,6.601796,9.751653
33,had,1.778151,4.810037,8.552973
34,hadn’t,1.301030,6.314114,8.214852
35,held,1.301030,6.688807,8.702339
36,here,1.477121,5.590195,8.257396
37,how,1.698970,5.194882,8.825949
38,i,2.531479,3.013658,7.629012
39,if,1.602060,5.397823,8.647637
40,in,1.954243,4.679983,9.145823
41,into,1.301030,6.378653,8.298818
42,it,2.322219,3.758827,8.728820
43,its,1.301030,5.449117,7.089464
44,lake,1.903090,4.575843,8.708241
45,less,1.301030,6.601796,8.589135
46,life,1.602060,5.503184,8.816431
47,light,1.477121,5.867827,8.667492
48,like,1.845098,4.852596,8.953516
49,little,1.301030,7.007261,9.116657
50,many,1.477121,6.196331,9.152732
51,maybe,1.301030,5.790866,7.534090
52,me,2.079181,4.333113,9.009326
53,more,1.477121,5.828606,8.609558
54,my,1.602060,5.009165,8.024983
55,no,1.602060,5.867827,9.400611
56,noise,1.301030,6.196331,8.061612
57,not,1.477121,5.174680,7.643629
58,notebook,1.602060,5.397823,8.647637
59,noticed,1.477121,6.196331,9.152732
60,of,2.204120,3.877217,8.545851
61,often,1.301030,6.314114,8.214852
62,on,1.698970,5.280040,8.970630
63,only,1.602060,5.754498,9.219051
64,opened,1.301030,6.314114,8.214852
65,or,1.301030,5.995660,7.800534
66,past,1.477121,7.477265,11.044827
67,path,1.477121,5.719407,8.448257
68,paused,1.301030,6.784118,8.826341
69,quiet,1.301030,5.828606,7.583191
70,realized,1.301030,6.688807,8.702339
71,reminder,1.301030,6.253489,8.135977
72,rhythm,1.301030,6.447645,8.388580
73,sat,1.301030,6.196331,8.061612
74,scattered,1.301030,7.294943,9.490940
75,seeing,1.301030,7.294943,9.490940
76,silence,1.301030,6.447645,8.388580
77,simply,1.301030,6.042180,7.861058
78,sky,1.477121,5.620967,8.302850
79,small,1.602060,5.828606,9.337777
80,so,1.301030,6.521753,8.484997
81,something,1.477121,5.397823,7.973239
82,spread,1.301030,6.521753,8.484997
83,steady,1.477121,6.378653,9.422043
84,step,1.477121,6.042180,8.925033
85,still,1.602060,5.236555,8.389275
86,stillness,1.477121,5.531355,8.170482
87,stretched,1.301030,6.196331,8.061612
88,sun,1.477121,5.867827,8.667492
89,surface,1.301030,5.560342,7.234172
90,that,1.954243,4.350504,8.501940
91,the,2.838849,2.480053,7.040495
92,their,1.301030,6.142264,7.991269
93,them,1.301030,6.042180,7.861058
94,then,1.301030,6.521753,8.484997
95,there,1.477121,5.790866,8.553811
96,they,1.602060,6.042180,9.679935
97,timar,1.477121,5.719407,8.448257
98,to,2.204120,3.768583,8.306409
99,trail,1.301030,6.196331,8.061612
100,trees,1.698970,5.135459,8.724991
101,until,1.301030,6.688807,8.702339
102,waiting,1.301030,6.447645,8.388580
103,walk,1.301030,5.908649,7.687329
104,was,2.113943,3.866347,8.173238
105,wasn’t,1.477121,5.531355,8.170482
106,water,1.698970,5.349033,9.087847
107,waves,1.301030,6.447645,8.388580
108,way,1.301030,5.719407,7.441120
109,what,1.301030,6.142264,7.991269
110,wind,1.301030,6.314114,8.214852
111,with,1.698970,4.897048,8.319938
112,world,1.477121,5.719407,8.448257
113,would,1.301030,7.007261,9.116657
114,writing,1.301030,6.889478,8.963418
115,wrote,1.602060,5.531355,8.861562
116,you,1.301030,6.889478,8.963418
