index,term,TF,IDF,TF-IDF
0,a,2.230449,2.864546,6.389225
1,air,1.477121,4.903714,7.243380
2,begin,1.602060,5.363246,8.592243
3,beneath,1.301030,5.450258,7.090949
4,cold,1.301030,6.056394,7.879550
5,deeper,1.301030,7.155006,9.308877
6,drift,1.301030,6.238715,8.116756
7,empty,1.301030,5.650929,7.352027
8,faint,1.477121,5.450258,8.050692
9,fall,1.602060,5.450258,8.731640
10,feel,1.845098,4.210567,7.768909
11,fog,1.845098,5.650929,10.426517
12,forest,1.778151,6.056394,10.769184
13,leaf,1.301030,6.749541,8.781355
14,life,1.301030,5.450258,7.090949
15,light,1.301030,4.321793,5.622782
16,long,1.477121,5.450258,8.050692
17,look,1.301030,5.075564,6.603461
18,move,1.301030,4.957781,6.450222
19,narrow,1.301030,6.461859,8.407072
20,need,1.301030,6.749541,8.781355
21,notebook,1.301030,5.450258,7.090949
22,path,1.602060,5.545568,8.884333
23,realize,1.301030,6.056394,7.879550
24,shape,1.301030,5.902243,7.678995
25,silence,1.301030,5.545568,7.214950
26,sit,1.301030,5.450258,7.090949
27,small,1.301030,5.075564,6.603461
28,sound,1.477121,4.712659,6.961169
29,stay,1.477121,5.363246,7.922165
30,step,1.301030,5.650929,7.352027
31,thin,1.602060,5.650929,9.053126
32,think,1.477121,4.852421,7.167614
33,time,1.301030,4.757111,6.189144
34,trees,1.477121,6.056394,8.946028
35,turn,1.301030,5.075564,6.603461
36,walk,1.698970,4.957781,8.423122
37,warmer,1.301030,7.155006,9.308877
38,watch,1.477121,5.140103,7.592555
39,water,1.602060,4.903714,7.856044
40,words,1.301030,5.768712,7.505267
41,world,1.301030,4.957781,6.450222
