index,term,TF,IDF,TF-IDF
0,a,2.176091,2.864546,6.233515
1,air,1.477121,4.903714,7.243380
2,beneath,1.301030,5.450258,7.090949
3,burn,1.301030,7.155006,9.308877
4,carry,1.301030,4.957781,6.450222
5,cars,1.301030,5.902243,7.678995
6,city,1.845098,4.903714,9.047833
7,close,1.301030,5.650929,7.352027
8,coffee,1.477121,6.056394,8.946028
9,conversation,1.301030,6.749541,8.781355
10,cross,1.301030,7.155006,9.308877
11,day,1.301030,5.283204,6.873607
12,direction,1.301030,7.155006,9.308877
13,eyes,1.477121,5.902243,8.718328
14,feel,1.602060,4.210567,6.745581
15,fragments,1.477121,6.749541,9.969890
16,glass,1.301030,6.056394,7.879550
17,headlines,1.301030,7.155006,9.308877
18,hear,1.301030,5.902243,7.678995
19,hum,1.301030,5.768712,7.505267
20,light,1.778151,4.321793,7.684801
21,mirrors,1.301030,7.155006,9.308877
22,moment,1.301030,5.545568,7.214950
23,morning,1.301030,5.450258,7.090949
24,motion,1.301030,6.056394,7.879550
25,move,1.477121,4.957781,7.323244
26,noise,1.477121,5.650929,8.347107
27,open,1.602060,5.209096,8.345284
28,pass,1.301030,5.650929,7.352027
29,people,1.301030,6.056394,7.879550
30,reflect,1.602060,6.056394,9.702706
31,remind,1.301030,6.056394,7.879550
32,rhythm,1.301030,5.363246,6.977744
33,screens,1.301030,7.155006,9.308877
34,sentences,1.301030,6.461859,8.407072
35,smell,1.301030,5.768712,7.505267
36,speak,1.301030,5.902243,7.678995
37,stop,1.602060,5.283204,8.464009
38,street,1.602060,6.056394,9.702706
39,sun,1.301030,6.238715,8.116756
40,think,1.301030,4.852421,6.313145
41,time,1.477121,4.757111,7.026829
42,traffic,1.301030,6.238715,8.116756
43,walk,1.301030,4.957781,6.450222
44,windows,1.301030,6.461859,8.407072
45,words,1.301030,5.768712,7.505267
