index,term,TF,IDF,TF-IDF
0,a,2.113943,2.864546,6.055489
1,air,1.301030,4.903714,6.379879
2,begin,1.301030,5.363246,6.977744
3,blue,1.301030,6.238715,8.116756
4,carry,1.301030,4.957781,6.450222
5,damp,1.301030,6.749541,8.781355
6,day,1.301030,5.283204,6.873607
7,distant,1.301030,5.902243,7.678995
8,feel,1.477121,4.210567,6.219518
9,fence,1.301030,7.155006,9.308877
10,fog,1.301030,5.650929,7.352027
11,garden,1.602060,6.461859,10.352285
12,heavy,1.301030,6.749541,8.781355
13,light,1.301030,4.321793,5.622782
14,look,1.301030,5.075564,6.603461
15,morning,1.301030,5.450258,7.090949
16,notebook,1.301030,5.450258,7.090949
17,quiet,1.301030,5.283204,6.873607
18,silence,1.301030,5.545568,7.214950
19,sky,1.301030,5.650929,7.352027
20,slowly,1.301030,6.056394,7.879550
21,small,1.301030,5.075564,6.603461
22,sound,1.301030,4.712659,6.131311
23,stillness,1.301030,6.461859,8.407072
24,turn,1.301030,5.075564,6.603461
25,walk,1.301030,4.957781,6.450222
26,world,1.477121,4.957781,7.323244
27,write,1.602060,5.209096,8.345284
