index,term,TF,IDF,TF-IDF
0,a,2.146128,2.864546,6.147683
1,belong,1.477121,5.768712,8.521086
2,break,1.301030,6.056394,7.879550
3,carry,1.301030,4.957781,6.450222
4,fade,1.301030,5.650929,7.352027
5,feel,1.301030,4.210567,5.478074
6,find,1.301030,6.056394,7.879550
7,forget,1.301030,5.902243,7.678995
8,hear,1.301030,5.902243,7.678995
9,leave,1.477121,4.803631,7.095545
10,light,1.301030,4.321793,5.622782
11,longer,1.301030,6.238715,8.116756
12,memory,1.477121,5.902243,8.718328
13,mind,1.301030,6.461859,8.407072
14,quiet,1.301030,5.283204,6.873607
15,refuse,1.301030,6.461859,8.407072
16,remember,1.477121,5.650929,8.347107
17,remind,1.301030,6.056394,7.879550
18,scent,1.301030,6.461859,8.407072
19,song,1.301030,6.461859,8.407072
20,stay,1.301030,5.363246,6.977744
21,stop,1.301030,5.283204,6.873607
22,strange,1.301030,5.650929,7.352027
23,time,1.301030,4.757111,6.189144
24,voice,1.301030,5.902243,7.678995
