index,term,TF,IDF,TF-IDF
0,a,2.079181,2.864546,5.955911
1,change,1.477121,5.650929,8.347107
2,exist,1.301030,6.056394,7.879550
3,eyes,1.301030,5.902243,7.678995
4,feel,1.477121,4.210567,6.219518
5,hold,1.301030,5.545568,7.214950
6,identity,1.301030,7.155006,9.308877
7,learn,1.477121,6.056394,8.946028
8,live,1.301030,5.902243,7.678995
9,meant,1.301030,5.902243,7.678995
10,move,1.301030,4.957781,6.450222
11,older,1.301030,7.155006,9.308877
12,remember,1.477121,5.650929,8.347107
13,sound,1.301030,4.712659,6.131311
14,think,1.301030,4.852421,6.313145
15,time,1.301030,4.757111,6.189144
16,version,1.301030,6.238715,8.116756
17,whisper,1.301030,6.238715,8.116756
18,years,1.301030,6.749541,8.781355
