index,term,TF,IDF,TF-IDF
0,a,2.361728,2.864546,6.765279
1,air,1.301030,4.903714,6.379879
2,blinked,1.301030,7.155006,9.308877
3,breath,1.301030,6.238715,8.116756
4,café,1.301030,6.461859,8.407072
5,city,1.778151,4.903714,8.719545
6,close,1.301030,5.650929,7.352027
7,coffee,1.301030,6.056394,7.879550
8,cup,1.301030,6.749541,8.781355
9,dark,1.477121,5.768712,8.521086
10,empty,1.477121,5.650929,8.347107
11,face,1.301030,6.461859,8.407072
12,fill,1.301030,6.238715,8.116756
13,finally,1.301030,6.056394,7.879550
14,glowing,1.301030,6.238715,8.116756
15,hold,1.301030,5.545568,7.214950
16,hum,1.477121,5.768712,8.521086
17,kind,1.301030,5.902243,7.678995
18,leave,1.301030,4.803631,6.249668
19,light,1.778151,4.321793,7.684801
20,long,1.301030,5.450258,7.090949
21,look,1.477121,5.075564,7.497224
22,man,1.301030,7.155006,9.308877
23,neon,1.301030,6.749541,8.781355
24,night,1.301030,6.461859,8.407072
25,noise,1.301030,5.650929,7.352027
26,open,1.301030,5.209096,6.777190
27,pass,1.602060,5.650929,9.053126
28,sign,1.301030,6.749541,8.781355
29,sit,1.301030,5.450258,7.090949
30,slow,1.301030,5.768712,7.505267
31,small,1.602060,5.075564,8.131359
32,smell,1.301030,5.768712,7.505267
33,smoke,1.301030,7.155006,9.308877
34,sound,1.477121,4.712659,6.961169
35,stay,1.301030,5.363246,6.977744
36,stop,1.301030,5.283204,6.873607
37,streetlamps,1.301030,7.155006,9.308877
38,streets,1.477121,6.238715,9.215339
39,think,1.477121,4.852421,7.167614
40,time,1.477121,4.757111,7.026829
41,turn,1.477121,5.075564,7.497224
42,walk,1.301030,4.957781,6.450222
43,watch,1.698970,5.140103,8.732881
44,window,1.301030,5.902243,7.678995
