index,term,TF,IDF,TF-IDF
0,a,2.230449,2.864546,6.389225
1,air,1.477121,4.903714,7.243380
2,beat,1.301030,7.155006,9.308877
3,begin,1.477121,5.363246,7.922165
4,beneath,1.301030,5.450258,7.090949
5,bridge,1.301030,6.238715,8.116756
6,calm,1.301030,6.749541,8.781355
7,carry,1.477121,4.957781,7.323244
8,change,1.477121,5.650929,8.347107
9,color,1.301030,6.238715,8.116756
10,edge,1.301030,6.056394,7.879550
11,faint,1.301030,5.450258,7.090949
12,feel,1.477121,4.210567,6.219518
13,flow,1.301030,6.056394,7.879550
14,gold,1.301030,5.902243,7.678995
15,green,1.301030,7.155006,9.308877
16,heron,1.477121,6.749541,9.969890
17,lean,1.301030,6.461859,8.407072
18,leave,1.698970,4.803631,8.161224
19,lift,1.301030,6.461859,8.407072
20,light,1.477121,4.321793,6.383812
21,long,1.477121,5.450258,8.050692
22,look,1.301030,5.075564,6.603461
23,mist,1.477121,6.238715,9.215339
24,morning,1.301030,5.450258,7.090949
25,motion,1.301030,6.056394,7.879550
26,move,1.477121,4.957781,7.323244
27,notebook,1.477121,5.450258,8.050692
28,notice,1.477121,6.461859,9.544949
29,pale,1.301030,6.056394,7.879550
30,path,1.602060,5.545568,8.884333
31,peace,1.301030,5.902243,7.678995
32,quiet,1.301030,5.283204,6.873607
33,reach,1.301030,6.056394,7.879550
34,reminder,1.301030,6.461859,8.407072
35,rhythm,1.301030,5.363246,6.977744
36,river,1.954243,5.450258,10.651126
37,rush,1.301030,6.461859,8.407072
38,sit,1.301030,5.450258,7.090949
39,slowly,1.301030,6.056394,7.879550
40,small,1.301030,5.075564,6.603461
41,sound,1.477121,4.712659,6.961169
42,stand,1.477121,5.283204,7.803933
43,steady,1.477121,5.902243,8.718328
44,stone,1.477121,6.749541,9.969890
45,sunlight,1.301030,6.461859,8.407072
46,surface,1.301030,5.768712,7.505267
47,thin,1.301030,5.650929,7.352027
48,think,1.301030,4.852421,6.313145
49,time,1.477121,4.757111,7.026829
50,trees,1.477121,6.056394,8.946028
51,watch,1.477121,5.140103,7.592555
52,water,1.778151,4.903714,8.719545
53,wings,1.301030,6.749541,8.781355
54,world,1.301030,4.957781,6.450222
55,write,1.602060,5.209096,8.345284
